Feature,Mean_Absolute_SHAP
PM2.5,0.013365909201145242
AQI,0.01290794868563546
AQI_roll_3,0.005433612457061868
PM10,0.0050449286066986225
AQI_roll_7,0.002482799671497338
NO2,0.0024134588608468676
AQI_lag1,0.002351883039263467
AQI_lag7,0.0022946036459788157
CO,0.001959010951079076
O3,0.001043464141918825
SO2,0.0008933140011225054
